iter	MAPE
0	0.04522243926
1	0.04408830665
2	0.04320612104
3	0.04261589715
4	0.04185809724
5	0.04135928365
6	0.04079418653
7	0.040238601
8	0.03978772619
9	0.03952423801
10	0.03909753768
11	0.03874619191
12	0.03846959797
13	0.03823332864
14	0.03792038817
15	0.03768674915
16	0.03738996713
17	0.03715658774
18	0.036888623
19	0.03665056523
20	0.03647909762
21	0.036433947
22	0.03624650925
23	0.03609816394
24	0.03596720588
25	0.03584757056
26	0.03563029182
27	0.03546877306
28	0.03537512256
29	0.03520047182
30	0.03505050054
31	0.03499222093
32	0.03489607132
33	0.03479879649
34	0.03469658843
35	0.03462655178
36	0.03455701202
37	0.03453492018
38	0.03441665576
39	0.03440982601
40	0.03435945742
41	0.03429152875
42	0.03420435013
43	0.03413955071
44	0.03409159023
45	0.03400798128
46	0.03395836247
47	0.03391700664
48	0.03387167148
49	0.03381253527
50	0.03374064434
51	0.03363437538
52	0.03359958878
53	0.03348720695
54	0.0334643837
55	0.03338678848
56	0.03336126423
57	0.03329552682
58	0.03325997909
59	0.03317149046
60	0.03312385127
61	0.03308923177
62	0.03302576959
63	0.03302003101
64	0.0329803382
65	0.03294924235
66	0.03289216241
67	0.03281986234
68	0.03277745641
69	0.03276606677
70	0.03269315797
71	0.03262011389
72	0.03256345977
73	0.0325211043
74	0.03246650243
75	0.03238399938
76	0.03234603691
77	0.03231082395
78	0.03229003283
79	0.03217858179
80	0.03211530386
81	0.03206190101
82	0.03198416003
83	0.03193387481
84	0.03187260329
85	0.03184060008
86	0.03181825361
87	0.03170417845
88	0.03167963918
89	0.03163353986
90	0.03156842687
91	0.03151851315
92	0.03146631585
93	0.03137329232
94	0.03133262609
95	0.03127467087
96	0.03121069516
97	0.03112789043
98	0.0310737078
99	0.03106387478
100	0.03098508649
101	0.03095359073
102	0.0309237818
103	0.03086994601
104	0.03081083527
105	0.03075585852
106	0.03069524047
107	0.03060819776
108	0.03057705969
109	0.03053888603
110	0.03048956009
111	0.03041028732
112	0.03037396041
113	0.03033650848
114	0.030249055
115	0.03020069426
116	0.03016391563
117	0.03012152728
118	0.03004756822
119	0.0300077255
120	0.0299881319
121	0.02993873515
122	0.02989904007
123	0.0298577459
124	0.02979391169
125	0.02976039558
126	0.02969974849
127	0.02968502392
128	0.02964980594
129	0.02961614124
130	0.02960169028
131	0.02957539851
132	0.02953228194
133	0.02951983081
134	0.0294497589
135	0.0293980587
136	0.02936438824
137	0.02927966336
138	0.02926348505
139	0.02924873416
140	0.02920288511
141	0.02914684026
142	0.02911301645
143	0.02910438053
144	0.02905910784
145	0.02901265094
146	0.02894628874
147	0.02893127579
148	0.02890327114
149	0.02883667388
150	0.02880259266
151	0.0287744775
152	0.02874706744
153	0.02873016095
154	0.0286821133
155	0.02861810861
156	0.02857646992
157	0.02856673384
158	0.02854458978
159	0.02850394259
160	0.02845449829
161	0.02842258807
162	0.02840275715
163	0.02835267931
164	0.02828980813
165	0.02823309885
166	0.0281762163
167	0.0281143914
168	0.02805647799
169	0.02803754378
170	0.02802453332
171	0.02800030569
172	0.02797991967
173	0.02797711463
174	0.02796314215
175	0.02794747369
176	0.02793107183
177	0.02789188321
178	0.02786425115
179	0.02783202735
180	0.02778904985
181	0.02777005627
182	0.0277534341
183	0.02770394309
184	0.027676855
185	0.02761594115
186	0.02757165827
187	0.02752686596
188	0.0275069397
189	0.02749289864
190	0.02743179602
