iter	Passed	Remaining
462	4649	5392
463	4659	5382
464	4667	5370
465	4675	5357
466	4683	5345
467	4692	5333
468	4701	5322
469	4710	5311
470	4718	5299
471	4728	5289
472	4738	5279
473	4747	5268
474	4754	5255
475	4763	5244
476	4771	5231
477	4781	5221
478	4792	5212
479	4800	5200
480	4810	5190
481	4817	5177
482	4830	5170
483	4837	5157
484	4848	5148
485	4856	5136
486	4865	5124
487	4877	5117
488	4884	5104
489	4896	5096
490	4905	5085
491	4913	5073
492	4927	5066
493	4934	5054
494	4941	5041
495	4951	5031
496	4960	5020
497	4970	5010
498	4978	4998
499	5003	5003
500	5025	5005
501	5041	5001
502	5055	4995
503	5068	4987
504	5082	4982
505	5101	4980
506	5113	4972
507	5122	4960
508	5132	4951
509	5157	4955
510	5168	4945
511	5178	4935
512	5188	4925
513	5201	4917
514	5212	4908
515	5223	4899
516	5233	4889
517	5242	4878
518	5251	4867
519	5261	4856
520	5269	4844
521	5277	4832
522	5284	4820
523	5294	4809
524	5302	4797
525	5313	4788
526	5322	4776
527	5331	4766
528	5340	4754
529	5351	4745
530	5360	4734
531	5370	4724
532	5380	4714
533	5390	4703
534	5397	4691
535	5409	4683
536	5416	4670
537	5426	4659
538	5437	4650
539	5447	4640
540	5455	4628
541	5464	4617
542	5474	4607
543	5484	4597
544	5495	4588
545	5505	4578
546	5513	4566
547	5524	4556
548	5534	4546
549	5543	4535
550	5554	4526
551	5562	4514
552	5573	4505
553	5580	4492
554	5592	4484
555	5600	4472
556	5609	4461
557	5619	4451
558	5628	4440
559	5637	4429
560	5647	4419
561	5656	4408
562	5665	4397
563	5676	4388
564	5686	4378
565	5697	4368
566	5707	4358
567	5715	4346
568	5724	4335
569	5731	4323
570	5740	4313
571	5751	4303
572	5759	4292
573	5769	4281
574	5779	4271
575	5788	4260
576	5795	4248
577	5804	4238
578	5812	4226
579	5821	4215
580	5829	4203
581	5839	4193
582	5846	4182
583	5857	4172
584	5867	4162
585	5875	4151
586	5884	4140
587	5895	4130
588	5905	4120
589	5916	4111
590	5924	4100
591	5933	4089
592	5943	4079
593	5952	4068
594	5959	4056
595	5969	4046
596	5976	4034
597	5987	4024
598	5995	4013
599	6006	4004
600	6017	3995
601	6024	3982
602	6036	3974
603	6045	3963
604	6054	3953
605	6065	3943
606	6073	3931
607	6082	3921
608	6093	3912
609	6103	3902
610	6115	3893
611	6123	3882
612	6135	3873
613	6144	3862
614	6153	3852
615	6163	3841
616	6172	3831
617	6184	3822
618	6196	3814
619	6205	3803
620	6218	3795
621	6228	3785
622	6235	3773
623	6244	3762
624	6252	3751
625	6261	3740
626	6268	3729
627	6279	3719
628	6286	3708
629	6295	3697
630	6302	3685
631	6314	3676
632	6322	3665
633	6331	3654
634	6338	3643
635	6347	3632
636	6355	3621
637	6365	3611
638	6375	3601
639	6383	3590
640	6393	3580
641	6401	3569
642	6415	3561
643	6425	3552
644	6436	3542
645	6446	3532
646	6454	3521
647	6463	3510
648	6470	3499
649	6480	3489
650	6488	3478
651	6497	3467
652	6508	3458
653	6517	3448
654	6536	3442
655	6557	3438
656	6573	3431
657	6597	3429
658	6633	3432
659	6644	3422
660	6655	3413
661	6679	3410
662	6690	3400
663	6699	3389
664	6711	3381
665	6728	3374
666	6743	3366
667	6758	3359
668	6774	3351
669	6788	3343
670	6808	3338
671	6826	3331
672	6840	3323
673	6859	3317
674	6874	3309
675	6888	3301
676	6901	3292
677	6916	3284
678	6927	3274
679	6939	3265
680	6948	3254
681	6956	3243
682	6968	3234
683	6975	3222
684	6984	3212
685	6992	3200
686	7002	3190
687	7010	3179
688	7021	3169
689	7028	3157
690	7037	3147
691	7045	3135
692	7056	3125
693	7064	3114
694	7075	3104
695	7084	3094
696	7093	3083
697	7102	3072
698	7109	3061
699	7120	3051
700	7130	3041
701	7140	3031
702	7150	3020
703	7159	3010
704	7171	3000
705	7181	2990
706	7191	2980
707	7201	2970
708	7211	2959
709	7221	2949
710	7231	2939
711	7241	2928
712	7252	2919
713	7260	2908
714	7269	2897
715	7279	2887
716	7289	2877
717	7299	2866
718	7306	2855
719	7316	2845
720	7328	2835
721	7336	2824
722	7346	2814
723	7356	2804
724	7365	2793
725	7373	2782
726	7384	2772
727	7391	2761
728	7400	2750
729	7411	2741
730	7420	2730
731	7429	2720
732	7437	2709
733	7447	2699
734	7458	2689
735	7466	2678
736	7483	2670
737	7502	2663
738	7520	2656
739	7536	2647
740	7553	2640
741	7568	2631
742	7582	2622
743	7599	2615
744	7615	2606
745	7628	2597
746	7637	2586
747	7651	2577
748	7669	2570
749	7681	2560
750	7692	2550
751	7702	2540
752	7712	2529
753	7720	2518
754	7729	2508
755	7736	2496
756	7746	2486
757	7757	2476
758	7765	2465
759	7775	2455
760	7785	2444
761	7796	2435
762	7805	2424
763	7814	2413
764	7824	2403
765	7831	2392
766	7840	2381
767	7848	2370
768	7858	2360
769	7865	2349
770	7874	2339
771	7883	2328
772	7894	2318
773	7903	2307
774	7914	2297
775	7923	2287
776	7934	2277
777	7944	2266
778	7956	2257
779	7965	2246
780	7976	2236
781	7984	2225
782	7992	2215
783	8001	2204
784	8010	2193
785	8019	2183
786	8027	2172
787	8036	2162
788	8045	2151
789	8056	2141
790	8063	2130
791	8073	2120
792	8080	2109
793	8089	2098
794	8096	2087
795	8107	2077
796	8116	2067
797	8124	2056
798	8132	2045
799	8141	2035
800	8154	2025
801	8161	2015
802	8171	2004
803	8182	1994
804	8190	1984
805	8202	1974
806	8211	1963
807	8221	1953
808	8232	1943
809	8240	1932
810	8249	1922
811	8257	1911
812	8267	1901
813	8276	1891
814	8285	1880
815	8295	1870
816	8306	1860
817	8319	1850
818	8327	1840
819	8338	1830
820	8346	1819
821	8354	1809
822	8363	1798
823	8372	1788
824	8384	1778
825	8392	1767
826	8401	1757
827	8409	1746
828	8419	1736
829	8430	1726
830	8437	1715
831	8448	1706
832	8456	1695
833	8465	1685
834	8473	1674
835	8482	1664
836	8489	1653
837	8501	1643
838	8521	1635
839	8550	1628
840	8588	1623
841	8605	1614
842	8616	1604
843	8639	1596
844	8649	1586
845	8660	1576
846	8668	1565
847	8680	1555
848	8687	1545
849	8696	1534
850	8704	1524
851	8713	1513
852	8721	1502
853	8729	1492
854	8736	1481
855	8746	1471
856	8754	1460
857	8763	1450
858	8771	1439
859	8781	1429
860	8788	1418
861	8798	1408
862	8809	1398
863	8816	1387
864	8827	1377
865	8835	1367
866	8846	1357
867	8855	1346
868	8865	1336
869	8877	1326
870	8884	1315
871	8896	1305
872	8907	1295
873	8915	1285
874	8926	1275
875	8933	1264
876	8945	1254
877	8954	1244
878	8962	1233
879	8973	1223
880	8980	1213
881	8991	1202
882	9001	1192
883	9009	1182
884	9017	1171
885	9027	1161
886	9039	1151
887	9046	1141
888	9056	1130
889	9064	1120
890	9074	1110
891	9081	1099
892	9090	1089
893	9097	1078
894	9107	1068
895	9113	1057
896	9123	1047
897	9131	1037
898	9143	1027
899	9153	1017
900	9160	1006
901	9172	996
902	9183	986
903	9192	976
904	9203	966
905	9211	955
906	9224	945
907	9236	935
908	9247	925
909	9255	915
910	9263	905
911	9271	894
912	9279	884
913	9288	874
914	9298	863
915	9307	853
916	9319	843
917	9327	833
918	9336	822
919	9344	812
920	9355	802
921	9365	792
922	9373	781
923	9385	771
924	9393	761
925	9403	751
926	9411	741
927	9421	730
928	9434	721
929	9442	710
930	9452	700
931	9464	690
932	9472	680
933	9482	670
934	9489	659
935	9499	649
936	9507	639
937	9518	629
938	9527	618
939	9535	608
940	9548	598
941	9558	588
942	9566	578
943	9576	568
944	9586	557
945	9596	547
946	9603	537
947	9613	527
948	9624	517
949	9632	506
950	9641	496
951	9649	486
952	9659	476
953	9666	466
954	9677	456
955	9684	445
956	9694	435
957	9702	425
958	9713	415
959	9726	405
960	9733	395
961	9744	384
962	9754	374
963	9765	364
964	9774	354
965	9785	344
966	9793	334
967	9802	324
968	9811	313
969	9820	303
970	9828	293
971	9838	283
972	9845	273
973	9855	263
974	9863	252
975	9873	242
976	9885	232
977	9893	222
978	9904	212
979	9912	202
980	9922	192
981	9931	182
982	9941	171
983	9949	161
984	9958	151
985	9967	141
986	9978	131
987	9987	121
988	9995	111
989	10006	101
990	10016	90
991	10027	80
992	10037	70
993	10048	60
994	10057	50
995	10069	40
996	10077	30
997	10087	20
998	10095	10
999	10104	0
